country,status,life_expectancy,adult_mortality,percentage_expenditure,hiv/aids,income_composition_of_resources,schooling
Afghanistan,0.0,58.193749999999994,269.0625,34.960110065937506,0.10000000000000002,0.415375,8.212500000000002
Albania,0.0,75.15624999999999,45.0625,193.25909071062503,0.10000000000000002,0.709875,12.137499999999998
Algeria,0.0,73.61874999999999,108.1875,236.18524066862503,0.10000000000000002,0.694875,12.712499999999997
Angola,0.0,49.01875,328.5625,102.10026836999998,2.36875,0.4583749999999999,8.043750000000001
Antigua and Barbuda,0.0,75.05624999999999,127.5,1001.58522632875,0.12500000000000006,0.4886249999999999,8.84375
Argentina,0.0,75.15624999999999,106.0,773.0389813131252,0.10000000000000002,0.794125,16.50625
Armenia,0.0,73.39999999999999,117.375,131.0074187505,0.10000000000000002,0.698375,11.787500000000001
Australia,1.0,81.81250000000001,63.1875,5332.2264727374995,0.10000000000000002,0.9181249999999997,20.0375
Austria,1.0,81.48124999999999,65.75,4928.439188052499,0.10000000000000002,0.862375,15.3875
Azerbaijan,0.0,70.73124999999999,115.1875,131.1487469148125,0.10000000000000002,0.7026874999999999,11.35
Bahamas,0.0,74.28750000000001,152.0625,0.0,0.11875000000000004,0.7379375000000001,12.424999999999999
Bahrain,0.0,75.72500000000001,65.375,602.0871396488749,0.10000000000000002,0.8079374999999998,14.1125
Bangladesh,0.0,69.3,141.375,32.32097151468751,0.10000000000000002,0.517875,8.693750000000001
Barbados,0.0,74.35625,77.625,389.07699521375,0.25625000000000003,0.7704375,14.89375
Belarus,0.0,69.90625,218.75,329.04645533312504,0.10000000000000002,0.7432499999999999,14.75
Belgium,1.0,80.68124999999999,70.1875,2392.4326567562507,0.10000000000000002,0.8777500000000001,16.7875
Belize,0.0,69.26875,155.5,365.84348979312506,0.43125,0.6939374999999999,12.456249999999999
Benin,0.0,57.568749999999994,269.375,43.99195641925,1.7062500000000005,0.43806249999999997,8.85
Bhutan,0.0,66.1625,230.25,134.76406995375,0.3562499999999999,0.183875,10.225000000000001
Bolivia (Plurinational State of),0.0,67.70625,177.5,0.0,0.15625,0.6337499999999999,13.9625
Bosnia and Herzegovina,0.0,75.96875000000001,64.9375,215.45745909824996,0.10000000000000002,0.450375,12.225
Botswana,0.0,56.05,448.125,334.2669708721875,16.525000000000002,0.6303749999999999,12.137500000000001
Brazil,0.0,73.38125,150.6875,390.695595171875,0.10000000000000002,0.7101875,14.162500000000001
Brunei Darussalam,0.0,76.48750000000001,67.0625,1276.879485248125,0.10000000000000002,0.839375,14.106250000000001
Bulgaria,1.0,72.85,125.5,350.74520402624995,0.10000000000000002,0.7546249999999999,13.725000000000001
Burkina Faso,0.0,55.64374999999999,252.5,52.0455813263125,1.8375,0.22968750000000002,5.40625
Burundi,0.0,55.537499999999994,291.5625,15.335497774875002,3.0875000000000004,0.32787499999999997,7.481250000000001
Cabo Verde,0.0,72.51875,116.1875,188.6329873781875,0.53125,0.57,12.200000000000001
Cambodia,0.0,64.34375,196.375,33.7965609773125,1.0250000000000001,0.49193749999999997,9.874999999999998
Cameroon,0.0,54.01875,294.875,44.462299938687494,6.212500000000001,0.47000000000000003,8.90625
Canada,0.0,81.6875,64.625,4694.078971425001,0.10000000000000002,0.8921875000000001,15.875000000000005
Central African Republic,0.0,48.51250000000001,333.0625,40.905543112125,8.981250000000001,0.3355,6.2375
Chad,0.0,50.3875,227.75,32.277320497062505,4.3375,0.316625,6.0874999999999995
Chile,0.0,79.44999999999999,63.625,775.5408127837499,0.10000000000000002,0.8013125,14.9
China,0.0,74.2625,73.75,73.5837628956875,0.10000000000000002,0.66025,11.4375
Colombia,0.0,73.28750000000001,124.25,516.640179215,0.10000000000000002,0.6818750000000001,12.231250000000003
Comoros,0.0,61.581250000000004,240.9375,47.7314576225,0.28124999999999994,0.32462499999999994,9.95625
Congo,0.0,59.04375,322.75,0.0,4.987499999999999,0.5283125,10.0875
Costa Rica,0.0,78.59374999999999,69.375,972.3591498793747,0.10000000000000002,0.7369375,12.837499999999999
Croatia,1.0,76.11875,89.0,1162.85632917,0.10000000000000002,0.7890625000000001,13.887500000000001
Cuba,0.0,77.97500000000001,57.5625,364.56385808368753,0.10000000000000002,0.7421250000000001,14.69375
Cyprus,1.0,79.675,54.125,932.6673898875001,0.10000000000000002,0.8330625000000002,13.51875
Denmark,1.0,79.25625000000001,66.0625,5313.33579445625,0.10000000000000002,0.8998749999999999,17.19375
Djibouti,0.0,60.75625,274.6875,98.83844812187499,3.28125,0.41843749999999996,4.750000000000001
Dominican Republic,0.0,72.34374999999999,143.5,360.67899713687495,1.41875,0.6849999999999999,12.74375
Ecuador,0.0,74.72500000000001,132.125,109.40605116625,0.19374999999999998,0.6988749999999999,13.012500000000001
Egypt,0.0,71.5,170.625,0.0,0.10000000000000002,0.6476249999999999,11.893749999999999
El Salvador,0.0,71.74375,155.0625,341.5691573100001,0.28750000000000003,0.6504375,12.656250000000002
Equatorial Guinea,0.0,55.3125,279.375,552.671538039375,5.1375,0.5361875,8.325
Eritrea,0.0,60.6875,308.625,6.4360693815625,1.2125,0.2553125,4.925000000000001
Estonia,0.0,74.94375,169.6875,859.5750084284374,0.10000000000000002,0.8233125,15.9375
Ethiopia,0.0,59.11250000000001,285.5625,32.482109182375,2.7249999999999996,0.346125,6.8
Fiji,0.0,68.7125,125.0,139.15683759693752,0.10000000000000002,0.7022499999999999,14.18125
