country,status,life_expectancy,adult_mortality,alcohol,percentage_expenditure,total_expenditure,hiv/aids,gdp,population,income_composition_of_resources,schooling
Afghanistan,0.0,58.193749999999994,269.0625,0.014375000000000002,34.960110065937506,8.2525,0.10000000000000002,340.01542546875004,9972259.8125,0.415375,8.212500000000002
Albania,0.0,75.15624999999999,45.0625,4.84875,193.25909071062503,5.945625,0.10000000000000002,2119.7266788750003,696911.625,0.709875,12.137499999999998
Algeria,0.0,73.61874999999999,108.1875,0.4066666666666668,236.18524066862503,4.604,0.10000000000000002,2847.8533923125,21649827.4375,0.694875,12.712499999999997
Angola,0.0,49.01875,328.5625,5.740666666666666,102.10026836999998,3.9193333333333342,2.36875,1975.1430451187498,10147099.1875,0.4583749999999999,8.043750000000001
Antigua and Barbuda,0.0,75.05624999999999,127.5,7.949333333333333,1001.58522632875,4.791333333333333,0.12500000000000006,9759.305728124998,,0.4886249999999999,8.84375
Argentina,0.0,75.15624999999999,106.0,7.966666666666667,773.0389813131252,6.9126666666666665,0.10000000000000002,6998.575103125,20121204.5,0.794125,16.50625
Armenia,0.0,73.39999999999999,117.375,3.7026666666666666,131.0074187505,4.8613333333333335,0.10000000000000002,1999.9863176500003,1015164.625,0.698375,11.787500000000001
Australia,1.0,81.81250000000001,63.1875,10.155333333333333,5332.2264727374995,8.836666666666668,0.10000000000000002,34637.565046874995,4587009.875,0.9181249999999997,20.0375
Austria,1.0,81.48124999999999,65.75,12.235999999999999,4928.439188052499,4.715333333333334,0.10000000000000002,33827.47630875,6474879.875,0.862375,15.3875
Azerbaijan,0.0,70.73124999999999,115.1875,0.9919999999999999,131.1487469148125,5.679333333333334,0.10000000000000002,3302.9478069937504,2157370.5,0.7026874999999999,11.35
Bahamas,0.0,74.28750000000001,152.0625,10.271333333333331,0.0,6.706,0.11875000000000004,,,0.7379375000000001,12.424999999999999
Bahrain,0.0,75.72500000000001,65.375,1.9346666666666663,602.0871396488749,3.807333333333333,0.10000000000000002,11191.247420625003,,0.8079374999999998,14.1125
Bangladesh,0.0,69.3,141.375,0.01,32.32097151468751,2.8546666666666662,0.10000000000000002,443.5614810250001,42985163.875,0.517875,8.693750000000001
Barbados,0.0,74.35625,77.625,8.206666666666669,389.07699521375,6.122,0.25625000000000003,12017.098529375,,0.7704375,14.89375
