country,status,life_expectancy,adult_mortality,percentage_expenditure,hiv/aids,gdp,income_composition_of_resources,schooling
Afghanistan,0.0,58.193749999999994,269.0625,34.960110065937506,0.10000000000000002,340.01542546875004,0.415375,8.212500000000002
Albania,0.0,75.15624999999999,45.0625,193.25909071062503,0.10000000000000002,2119.7266788750003,0.709875,12.137499999999998
Algeria,0.0,73.61874999999999,108.1875,236.18524066862503,0.10000000000000002,2847.8533923125,0.694875,12.712499999999997
Angola,0.0,49.01875,328.5625,102.10026836999998,2.36875,1975.1430451187498,0.4583749999999999,8.043750000000001
Antigua and Barbuda,0.0,75.05624999999999,127.5,1001.58522632875,0.12500000000000006,9759.305728124998,0.4886249999999999,8.84375
Argentina,0.0,75.15624999999999,106.0,773.0389813131252,0.10000000000000002,6998.575103125,0.794125,16.50625
Armenia,0.0,73.39999999999999,117.375,131.0074187505,0.10000000000000002,1999.9863176500003,0.698375,11.787500000000001
Australia,1.0,81.81250000000001,63.1875,5332.2264727374995,0.10000000000000002,34637.565046874995,0.9181249999999997,20.0375
Austria,1.0,81.48124999999999,65.75,4928.439188052499,0.10000000000000002,33827.47630875,0.862375,15.3875
Azerbaijan,0.0,70.73124999999999,115.1875,131.1487469148125,0.10000000000000002,3302.9478069937504,0.7026874999999999,11.35
Bahrain,0.0,75.72500000000001,65.375,602.0871396488749,0.10000000000000002,11191.247420625003,0.8079374999999998,14.1125
Bangladesh,0.0,69.3,141.375,32.32097151468751,0.10000000000000002,443.5614810250001,0.517875,8.693750000000001
Barbados,0.0,74.35625,77.625,389.07699521375,0.25625000000000003,12017.098529375,0.7704375,14.89375
Belarus,0.0,69.90625,218.75,329.04645533312504,0.10000000000000002,3811.5253479999997,0.7432499999999999,14.75
Belgium,1.0,80.68124999999999,70.1875,2392.4326567562507,0.10000000000000002,16915.305999999997,0.8777500000000001,16.7875
Belize,0.0,69.26875,155.5,365.84348979312506,0.43125,3933.0121744999997,0.6939374999999999,12.456249999999999
Benin,0.0,57.568749999999994,269.375,43.99195641925,1.7062500000000005,561.167968,0.43806249999999997,8.85
Bhutan,0.0,66.1625,230.25,134.76406995375,0.3562499999999999,1353.98694560625,0.183875,10.225000000000001
Bosnia and Herzegovina,0.0,75.96875000000001,64.9375,215.45745909824996,0.10000000000000002,2245.0260235624996,0.450375,12.225
Botswana,0.0,56.05,448.125,334.2669708721875,16.525000000000002,4498.285431187499,0.6303749999999999,12.137500000000001
Brazil,0.0,73.38125,150.6875,390.695595171875,0.10000000000000002,6143.161793500001,0.7101875,14.162500000000001
Brunei Darussalam,0.0,76.48750000000001,67.0625,1276.879485248125,0.10000000000000002,19744.808101874998,0.839375,14.106250000000001
Bulgaria,1.0,72.85,125.5,350.74520402624995,0.10000000000000002,4938.981821375001,0.7546249999999999,13.725000000000001
Burkina Faso,0.0,55.64374999999999,252.5,52.0455813263125,1.8375,410.3720343125,0.22968750000000002,5.40625
Burundi,0.0,55.537499999999994,291.5625,15.335497774875002,3.0875000000000004,137.81532131875,0.32787499999999997,7.481250000000001
Cabo Verde,0.0,72.51875,116.1875,188.6329873781875,0.53125,2023.54103925,0.57,12.200000000000001
Cambodia,0.0,64.34375,196.375,33.7965609773125,1.0250000000000001,466.19687804999995,0.49193749999999997,9.874999999999998
Cameroon,0.0,54.01875,294.875,44.462299938687494,6.212500000000001,781.0160044124999,0.47000000000000003,8.90625
Canada,0.0,81.6875,64.625,4694.078971425001,0.10000000000000002,29382.907523125003,0.8921875000000001,15.875000000000005
Central African Republic,0.0,48.51250000000001,333.0625,40.905543112125,8.981250000000001,363.05590484999993,0.3355,6.2375
Chad,0.0,50.3875,227.75,32.277320497062505,4.3375,484.7916940562499,0.316625,6.0874999999999995
Chile,0.0,79.44999999999999,63.625,775.5408127837499,0.10000000000000002,6202.344363562499,0.8013125,14.9
China,0.0,74.2625,73.75,73.5837628956875,0.10000000000000002,2345.3031576875,0.66025,11.4375
Colombia,0.0,73.28750000000001,124.25,516.640179215,0.10000000000000002,3321.6607483124994,0.6818750000000001,12.231250000000003
Comoros,0.0,61.581250000000004,240.9375,47.7314576225,0.28124999999999994,630.38433406875,0.32462499999999994,9.95625
Costa Rica,0.0,78.59374999999999,69.375,972.3591498793747,0.10000000000000002,3957.22728625,0.7369375,12.837499999999999
Croatia,1.0,76.11875,89.0,1162.85632917,0.10000000000000002,9056.7847190625,0.7890625000000001,13.887500000000001
Cuba,0.0,77.97500000000001,57.5625,364.56385808368753,0.10000000000000002,3180.4348844375,0.7421250000000001,14.69375
Cyprus,1.0,79.675,54.125,932.6673898875001,0.10000000000000002,13898.88550125,0.8330625000000002,13.51875
Denmark,1.0,79.25625000000001,66.0625,5313.33579445625,0.10000000000000002,33067.407915625,0.8998749999999999,17.19375
Djibouti,0.0,60.75625,274.6875,98.83844812187499,3.28125,897.9998706499999,0.41843749999999996,4.750000000000001
Dominican Republic,0.0,72.34374999999999,143.5,360.67899713687495,1.41875,3509.4991863125,0.6849999999999999,12.74375
Ecuador,0.0,74.72500000000001,132.125,109.40605116625,0.19374999999999998,2005.3524679375,0.6988749999999999,13.012500000000001
El Salvador,0.0,71.74375,155.0625,341.5691573100001,0.28750000000000003,2517.8346304375,0.6504375,12.656250000000002
Equatorial Guinea,0.0,55.3125,279.375,552.671538039375,5.1375,7902.4107885625,0.5361875,8.325
Eritrea,0.0,60.6875,308.625,6.4360693815625,1.2125,259.3953562916667,0.2553125,4.925000000000001
Estonia,0.0,74.94375,169.6875,859.5750084284374,0.10000000000000002,8340.4329494375,0.8233125,15.9375
Ethiopia,0.0,59.11250000000001,285.5625,32.482109182375,2.7249999999999996,264.97094995000003,0.346125,6.8
Fiji,0.0,68.7125,125.0,139.15683759693752,0.10000000000000002,2947.6126888750005,0.7022499999999999,14.18125
Finland,0.0,80.7125,68.875,2889.3154698924996,0.10000000000000002,25268.649758125,0.8729374999999999,17.29375
France,0.0,82.21875,73.125,3751.5065741337494,0.10000000000000002,26465.551380625,0.8705624999999998,15.899999999999999
Gabon,0.0,62.243750000000006,220.4375,261.077778610625,8.0,5179.2561886250005,0.6543749999999999,12.412500000000003
Georgia,0.0,73.50625,114.9375,99.5257140183125,0.10000000000000002,2158.2808692812496,0.6779375,12.674999999999999
Germany,1.0,81.175,71.25,3900.8902608937497,0.10000000000000002,24337.749100000005,0.8945000000000001,16.6
Ghana,0.0,60.8625,180.0625,77.24912203487499,2.2875,834.3761008125001,0.525875,9.512499999999998
Greece,0.0,81.21875,73.625,1759.24682044375,0.10000000000000002,16454.23587,0.8423125,15.9375
Grenada,0.0,73.29375,153.75,363.84122981125,0.10000000000000002,6259.5172613125,0.23318750000000002,15.20625
Guatemala,0.0,71.73125,131.1875,334.0270480281251,0.375,2365.83447375,0.5844374999999998,9.862499999999999
Guinea,0.0,56.0125,259.875,15.8912829451875,2.19375,279.46479789375,0.36474999999999996,7.174999999999998
Guinea-Bissau,0.0,55.36875,158.3125,21.961644662687497,4.818749999999999,384.2149305312501,0.25418750000000007,8.2875
Guyana,0.0,65.6375,203.9375,187.76501795668753,1.0625,1783.8809370625002,0.6198125000000001,10.787500000000001
Haiti,0.0,59.868750000000006,168.3125,36.129200178937495,2.7375,434.36012815000004,0.4620625,8.45
Honduras,0.0,72.99374999999999,142.0,192.11563525374999,0.81875,1421.7880825000002,0.590125,10.887500000000001
Hungary,1.0,73.82499999999999,147.0625,376.831080251,0.10000000000000002,8513.641831249997,0.8043125,15.118749999999999
Iceland,1.0,82.44375000000001,49.375,4991.59530846875,0.10000000000000002,30159.502907500006,0.8853124999999998,18.156250000000004
India,0.0,65.41874999999999,146.5625,33.2426210915625,0.2562499999999999,837.9200509125001,0.5495000000000001,9.981250000000003
Indonesia,0.0,67.55625,166.5625,83.76831559187498,0.20000000000000007,1669.116783075,0.6414374999999999,11.6125
Iraq,0.0,70.35625,136.75,120.663689503125,0.10000000000000002,3542.5575372499993,0.6335,9.906249999999998
Ireland,1.0,80.15,72.4375,4867.3126046874995,0.10000000000000002,33835.272005,0.8915,17.65625
Israel,0.0,81.3,59.5,1467.5358269218748,0.10000000000000002,18860.476015624998,0.8731875,15.712499999999999
Italy,1.0,82.1875,54.1875,2937.1376542306252,0.10000000000000002,21234.782370625006,0.8580625,15.93125
Jamaica,0.0,74.29375,141.25,134.249450170875,1.2375,2509.5464696249996,0.7096250000000001,12.275
Japan,1.0,82.5375,57.125,3923.05032917375,0.10000000000000002,24892.544784375,0.8765624999999999,14.975
Jordan,0.0,72.9875,114.3125,273.59953421874997,0.10000000000000002,1822.6299256249997,0.729,13.237499999999997
Kazakhstan,0.0,66.7625,232.0625,203.03090856000003,0.10000000000000002,4040.586664374999,0.7450625,14.025
Kenya,0.0,57.481249999999996,348.5625,61.65546434349999,8.7625,716.77006788125,0.49712500000000004,9.96875
Kiribati,0.0,65.14999999999999,129.4375,77.12610334500002,0.10000000000000002,1175.29241553125,0.36375,11.69375
Kuwait,0.0,73.84375000000001,83.25,1719.8409805812503,0.10000000000000002,31914.378339374998,0.7895,13.725
Latvia,1.0,73.73125,161.8125,530.60519180375,0.10000000000000002,7951.824896624999,0.7924999999999999,15.568749999999998
Lebanon,0.0,74.2,65.3125,333.0479451320625,0.10000000000000002,4696.1923789375005,0.4696875,13.743749999999999
Lesotho,0.0,48.78124999999999,550.0625,82.11891290006248,22.968749999999996,794.5230103125001,0.4568125,10.65625
Liberia,0.0,57.525,246.9375,25.27170667675,2.28125,246.28174803125006,0.38943750000000005,9.86875
Libya,0.0,72.48750000000001,139.6875,180.0749890925,0.10000000000000002,4598.161975416667,0.7408125,14.79375
Lithuania,1.0,72.80624999999999,117.25,1015.75384256375,0.10000000000000002,9007.4586225,0.8066874999999999,16.1
Luxembourg,1.0,80.78125,67.5625,8177.5763413625,0.10000000000000002,53257.012740624996,0.8781250000000002,13.6375
Madagascar,0.0,62.74375,228.8125,43.253156571750004,0.525,314.04132958124995,0.45668749999999997,9.33125
Malawi,0.0,49.893750000000004,424.4375,25.849706456812505,16.68125,237.50404201875,0.410625,10.23125
Malaysia,0.0,73.75625000000001,118.5625,248.88502812000002,0.10000000000000002,4904.9389918125,0.749125,12.562499999999998
Maldives,0.0,75.5375,83.1875,626.4998210524999,0.10000000000000002,3818.2969615624997,0.6386249999999999,12.000000000000002
Mali,0.0,54.9375,202.125,48.981176981125,1.8249999999999997,530.5121700999999,0.36518749999999994,6.43125
Malta,1.0,80.36250000000001,60.75,1181.43178558125,0.10000000000000002,10114.797943125002,0.8111875,14.306250000000002
Mauritania,0.0,62.8,159.9375,31.7031471238125,1.1875000000000004,635.04960900625,0.4730625,7.318750000000001
Mauritius,0.0,72.7125,163.5625,422.23952429893745,0.10625000000000002,5299.579823624998,0.722625,13.531249999999998
Mexico,0.0,75.71874999999999,111.0625,465.32749578749997,0.10000000000000002,5179.33080675,0.7288749999999999,12.325
Mongolia,0.0,65.8875,222.125,126.37836398937499,0.10000000000000002,1984.6880227125002,0.6620625,12.66875
Montenegro,0.0,74.5,92.75,455.049824020625,0.10000000000000002,4676.5142774999995,0.58375,10.71875
Morocco,0.0,72.15624999999999,95.1875,102.98965830775,0.10000000000000002,1936.3914383750002,0.5854999999999999,10.287500000000001
Mozambique,0.0,53.393750000000004,226.25,37.03415152218751,11.3875,365.06823808125,0.36081250000000004,7.987500000000001
Myanmar,0.0,64.2,154.3125,12.824563635250001,0.47500000000000003,616.18435734375,0.4882500000000001,8.325
Namibia,0.0,60.400000000000006,313.1875,359.93007941693753,13.64375,3042.6035070000003,0.5883125000000001,11.549999999999999
Nepal,0.0,66.48125,147.25,40.1620642759375,0.15625,395.32846794375007,0.494375,10.431249999999999
Netherlands,1.0,81.13125,61.625,3805.687047718751,0.10000000000000002,34964.719796875,0.8997499999999999,17.056250000000002
New Zealand,1.0,81.33749999999999,71.5,2922.147779791875,0.10000000000000002,14775.554806874998,0.8911875,18.868749999999995
Nicaragua,0.0,73.45,162.375,183.6629076488125,0.22499999999999998,957.9039710624999,0.6035,11.112499999999999
Niger,0.0,56.98125,232.4375,19.099368610625003,1.1624999999999999,259.782440975,0.298125,4.01875
Nigeria,0.0,51.35625000000001,248.5,85.44427533293752,4.83125,1360.1398774687502,0.36737500000000006,9.0
Norway,1.0,81.79375,66.25,4658.8139180937505,0.10000000000000002,27434.946928125,0.9314374999999998,17.46875
Oman,0.0,74.84375,67.75,387.410820335625,0.10000000000000002,7621.311126875001,0.7155,12.225
Pakistan,0.0,64.5,154.0,26.1203906045625,0.10000000000000002,666.11105159375,0.500875,6.718749999999998
Panama,0.0,76.4875,115.875,569.9716162019376,0.12500000000000003,5417.768890249999,0.74825,12.775000000000002
Papua New Guinea,0.0,61.68125,266.5625,75.37048165187501,1.16875,758.0976163466668,0.4661874999999999,8.54375
